prop_zip,holdout_jobs,mae,median_ape,median_actual,median_pred
68116,24,8264.839104068176,0.3620255698647805,12902.060000000001,12606.215517581264
68137,13,6644.321871166317,0.2741327189874198,12337.0,13139.004852415468
68111,12,2684.744575028191,0.3550786595988415,5500.0,7886.576394674044
68130,11,7591.251715531226,0.3731135298810366,8503.0,11675.584344578454
68134,9,5983.340127251726,0.5551295080342515,6593.07,10072.708696116788
68007,8,9566.342321195274,0.22247834396803212,13000.0,15818.09167716331
68154,8,6557.055987361186,0.280175003941131,11392.57,10735.269772417902
68114,8,6332.244814229816,0.46323540369971633,11600.0,8512.438741149119
68122,7,2843.9895996710216,0.23601347164375716,8091.0,9592.49094174023
68135,6,9177.138506643989,0.4417951347081305,12424.145,11075.147847190672
68022,6,7582.1961441072635,0.4195426098666446,10563.225,16419.826965428583
68106,6,3324.5014176253558,0.41123824564644323,8156.030000000001,8643.380761115295
68164,4,11645.35236729647,0.31925457084864794,28990.0,16129.54738481342
68105,4,11365.635350212233,0.5129258069900243,17082.885000000002,9301.971376594931
68110,4,9539.540570339741,0.3922247859752622,6000.0,6596.231475267605
68144,4,3706.3449348742824,0.18040641377253253,14557.0,11488.727619148049
68104,4,2435.391822547292,0.32808670314618693,5986.66,6486.732329304925
68107,3,8262.751892048922,0.209813946789026,12000.0,9789.733553018867
68112,3,6013.068021946863,0.5105686799684229,7450.47,8683.51909013482
68142,3,3703.3903947159783,0.13288277685420277,10026.0,8693.717279259763
68117,3,3513.9337462592543,0.4351685526539273,9395.31,8820.30896836925
68127,3,2720.372395595929,0.2272122662088744,12264.74,11223.587131606835
68131,3,1897.6117279096968,0.12479815258458486,10000.0,9282.959153280579
68118,2,4234.535486396015,0.2294528439490868,18233.65,14217.82769986209
68108,2,805.0427487831645,0.6399957966281449,4700.0,5505.042748783165
68069,1,2549.4216693239996,0.18492830910517913,13786.0,16335.421669324
