feature,importance_mean,importance_std
bldg_sf,512.0151213371192,205.74626888832918
total_valu,462.8146991008553,200.08532637261786
land_value,242.11421686432757,49.96252431068044
improvemen,149.34254927401932,88.2247714472222
description_length,132.87031808360783,134.0016689184177
centroid_longitude,59.44135663003023,76.1726275507201
property_age,56.69285324470796,116.4012288215636
kw_decking,42.93273524030689,27.37438831195745
sq_feet,39.73772701368034,78.55080325856146
kw_gutter,38.56147709947812,31.83165494810666
kw_ventilation,15.600343149666696,3.1192859814749374
kw_metal,4.463341404364413,3.0885437639736866
condition,2.915199143927263,12.181717986880528
permit_month,2.846748843410872,19.170574498873894
kw_insurance,-3.0316490059097606e-13,1.7468192152455758e-12
kw_skylight,-1.0307606620093186e-12,1.2804904497863313e-12
kw_garage,-0.2753966064379104,0.5393938000535998
bldg_story,-0.6836623357273613,13.760360140594749
kw_flat_roof,-1.6234164431505027,0.239732085764807
kw_impact_shingle,-4.815147775745148,1.2317031321828857
acres,-8.43639845084387,16.88693470651286
roof_covering_material,-13.94570695116854,18.369337701116713
centroid_latitude,-17.103840721683387,43.389243405795504
prop_zip,-25.936498463770416,36.38484168357096
quality,-30.182644077025543,6.268741786331984
