feature,coefficient,abs_coefficient
num__bldg_sf,0.25347351456855277,0.25347351456855277
cat__roof_covering_material_Thermoplastic Single-Ply,-0.16036266849553701,0.16036266849553701
num__description_length,-0.14350890747221368,0.14350890747221368
cat__quality_Good,0.1422413029294677,0.1422413029294677
num__kw_decking,0.13231930911503947,0.13231930911503947
cat__quality_Average,-0.11291076196246319,0.11291076196246319
cat__permit_month_2026-02,-0.10991521189710123,0.10991521189710123
cat__prop_zip_68108,-0.1038703007364473,0.1038703007364473
cat__condition_Good,0.08396978100841704,0.08396978100841704
cat__permit_month_2025-11,0.07279954865374068,0.07279954865374068
num__kw_gutter,0.07181296709128397,0.07181296709128397
num__kw_ventilation,0.06889743888454632,0.06889743888454632
num__bldg_story,-0.06831855492336379,0.06831855492336379
cat__roof_covering_material_Wood Shakes,0.06592297543209209,0.06592297543209209
cat__prop_zip_68114,0.06495772692468252,0.06495772692468252
cat__prop_zip_68111,0.06212338956269082,0.06212338956269082
num__kw_metal,0.05999247676255383,0.05999247676255383
cat__prop_zip_68116,-0.05493187978301579,0.05493187978301579
cat__roof_covering_material_Metal Shingles,0.051937740606426586,0.051937740606426586
cat__prop_zip_68117,0.05125100561243499,0.05125100561243499
cat__condition_Fair,-0.05035922398404438,0.05035922398404438
cat__prop_zip_68137,-0.04875790064129545,0.04875790064129545
num__land_value,0.04655885132834881,0.04655885132834881
cat__prop_zip_68122,0.0462326397100306,0.0462326397100306
cat__roof_covering_material_Metal Roof Panels,0.04540434741258903,0.04540434741258903
cat__condition_Very Good,-0.04283782835139307,0.04283782835139307
cat__prop_zip_68104,-0.041419860627354387,0.041419860627354387
num__property_age,-0.039501776446584834,0.039501776446584834
cat__roof_covering_material_Slate Shingles,0.039236653228382795,0.039236653228382795
cat__prop_zip_68112,-0.0371289068375145,0.0371289068375145
cat__roof_covering_material_Asphalt,-0.03635734320953392,0.03635734320953392
cat__prop_zip_68106,0.03591323006649846,0.03591323006649846
num__kw_garage,0.03576149472279152,0.03576149472279152
cat__permit_month_2026-01,0.03532448264206021,0.03532448264206021
num__centroid_longitude,-0.032787254220410775,0.032787254220410775
cat__prop_zip_68152,0.0319160705738322,0.0319160705738322
num__centroid_latitude,0.027616633636952305,0.027616633636952305
cat__prop_zip_68144,0.027060080212233946,0.027060080212233946
cat__prop_zip_68131,-0.02672303361966239,0.02672303361966239
cat__prop_zip_68022,-0.025670952687787223,0.025670952687787223
cat__prop_zip_68124,-0.025605728947599164,0.025605728947599164
cat__prop_zip_68118,-0.025091825476849582,0.025091825476849582
cat__quality_Very Good,-0.024190923554235137,0.024190923554235137
cat__prop_zip_68164,0.02372503913166218,0.02372503913166218
cat__prop_zip_68110,-0.022945731636963427,0.022945731636963427
cat__condition_Average,0.02244763978002565,0.02244763978002565
cat__roof_covering_material_Clay or Concrete Tile,-0.020129616445985925,0.020129616445985925
cat__prop_zip_Unknown,0.018847110816971966,0.018847110816971966
cat__roof_covering_material_Mineral Surface Roll Roofing,-0.018227764330633493,0.018227764330633493
cat__prop_zip_68135,-0.01709215965989539,0.01709215965989539
cat__prop_zip_68130,0.016440170759285694,0.016440170759285694
cat__roof_covering_material_Wood Shingles,0.01581069012111458,0.01581069012111458
cat__roof_covering_material_Modified Bitumen,0.015075431945250059,0.015075431945250059
cat__permit_month_2025-12,0.014925255970912711,0.014925255970912711
cat__prop_zip_68105,0.014866926866155145,0.014866926866155145
num__kw_insurance,-0.014549923098348957,0.014549923098348957
cat__prop_zip_68142,0.014524912991145654,0.014524912991145654
cat__permit_month_2026-03,-0.013134075369612327,0.013134075369612327
cat__condition_Poor,-0.0119338724724564,0.0119338724724564
num__total_valu,0.010559861969222014,0.010559861969222014
cat__prop_zip_68069,0.010446305404169985,0.010446305404169985
cat__prop_zip_68147,0.009764671333450126,0.009764671333450126
cat__prop_zip_68154,-0.009358380149716732,0.009358380149716732
num__kw_skylight,-0.009333062627932633,0.009333062627932633
cat__prop_zip_68007,0.008380141228560139,0.008380141228560139
cat__prop_zip_68107,-0.0067783877378205185,0.0067783877378205185
num__kw_flat_roof,0.006431935437165312,0.006431935437165312
cat__prop_zip_68132,0.0052293551035531086,0.0052293551035531086
num__improvemen,0.004677231959262894,0.004677231959262894
num__kw_impact_shingle,0.003604519760065054,0.003604519760065054
cat__quality_Excellent,-0.003221334173304741,0.003221334173304741
num__acres,-0.002866855129069687,0.002866855129069687
cat__prop_zip_68134,0.002735165772167971,0.002735165772167971
cat__quality_Fair,-0.0019182832394644901,0.0019182832394644901
cat__roof_covering_material_Thermoset Single-Ply,0.0016895537358355805,0.0016895537358355805
num__sq_feet,-0.0014144161903239336,0.0014144161903239336
cat__condition_Worn Out,-0.001286495980548658,0.001286495980548658
cat__prop_zip_68127,0.000961106472396337,0.000961106472396337
