column,non_null_count,non_null_rate,example_value
objectid,76882,1.0,1
parcelid,76882,1.0,011137061
cvttxdscrp,76882,1.0,B1M
schldscrp,76882,1.0,BELLEVUE SCHOOL
usedscrp,76882,1.0,COMMERCIAL AND SUBURBAN COMMERCIAL
nghbrhdcd,76499,0.9950183397934497,OB
classcd,76882,1.0,2000
classdscrp,76882,1.0,COMMERCIAL AND SUBURBAN COMMERCIAL
siteaddress,71150,0.9254441871959627,1620 WILSHIRE DR BELLEVUE NE 68005
prprtydscrp,76882,1.0,LOT 1 TILLER'S 5TH ADDITION
ownernme1,76522,0.9953174995447569,WILSHIRE PROPERTIES LLC
ownernme2,19709,0.2563538929788507,TRUSTEE GENE A BARKHURST TRUST
pstladdress,76845,0.9995187430087666,11418 S 44TH ST
pstlcity,76882,1.0,BELLEVUE
pstlstate,76881,0.999986993054291,NE
pstlzip5,76881,0.999986993054291,68123
resflrarea,76882,1.0,0.0
resyrblt,76882,1.0,0.0
resstrtyp,62003,0.8064696547956609,RAN
lndvalue,76882,1.0,263316.0
cntassdval,76882,1.0,2559880.0
cnttxblval,76882,1.0,2559880.0
lastupdate,76882,1.0,2026-04-14T09:18:16Z
acreage,76882,1.0,2.01483696
global_id,76882,1.0,{6EF9171C-BB13-45BC-B4D1-732B12E2D3BF}
shape_st_area,76882,1.0,87701.3226168304
shape_st_length,76882,1.0,1277.247750337447
lowparcelid,0,0.0,
building,65179,0.8477797143674722,C01
unit,0,0.0,
cvttxcd,76882,1.0,10002
schltxcd,76882,1.0,77-0001
usecd,76882,1.0,2000
cnvyname,73238,0.9526026898363726,TILLER'S 5TH ADDITION
pstlzip4,10160,0.13215056840352749,0000
strclass,62623,0.8145339611352462,1
classmod,1820,0.023672641190395673,E
totcnttxod,76882,1.0,51572.92
impvalue,76882,1.0,2296564.0
shape_geojson,76882,1.0,"{""type"": ""Polygon"", ""coordinates"": [[[-96.20020757776268, 41.18976489371083], [-96.20015496477784, 41.18976335231282], [-96.20005231979951, 41.18976409321797], ..."
centroid_latitude,76882,1.0,41.18926451212935
centroid_longitude,76882,1.0,-96.1994330657517
